City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hlubocky,49.62,17.39,62.01,84,0,3.0,CZ,1593565967
1,dikson,73.51,80.55,46.42,88,3,14.0,RU,1593565908
2,mount barker,-35.07,138.87,60.01,47,0,5.99,AU,1593565967
3,pisco,-13.7,-76.22,62.6,82,40,3.36,PE,1593565967
4,tuktoyaktuk,69.45,-133.04,53.6,81,75,14.99,CA,1593565652
5,kant,27.8,79.8,87.94,54,0,5.1,IN,1593565968
6,kirakira,-10.45,161.92,82.13,77,24,9.95,SB,1593565946
7,atuona,-9.8,-139.03,80.1,72,7,19.62,PF,1593565905
8,ushuaia,-54.8,-68.3,26.6,79,0,4.7,AR,1593565905
9,manaure,11.78,-72.44,82.31,71,0,20.45,CO,1593565968
10,mataura,-46.19,168.86,39.0,83,100,3.0,NZ,1593565905
11,shingu,33.73,135.98,73.4,94,75,4.7,JP,1593565921
12,chokurdakh,70.63,147.92,58.57,33,38,8.75,RU,1593565945
13,sokoni,-6.43,39.55,77.0,88,20,10.29,TZ,1593565968
14,tessalit,20.2,1.01,82.24,46,0,7.43,ML,1593565968
15,provideniya,64.38,-173.3,46.4,93,90,11.18,RU,1593565912
16,fremont,37.55,-121.99,84.99,49,1,16.11,US,1593565816
17,gaurnadi,22.97,90.23,83.23,86,91,6.17,BD,1593565969
18,punta arenas,-53.15,-70.92,26.6,86,0,4.7,CL,1593565828
19,rikitea,-23.12,-134.97,69.33,62,95,17.4,PF,1593565907
20,yellowknife,62.46,-114.35,80.01,31,20,5.82,CA,1593565716
21,maningrida,-12.07,134.27,81.07,53,13,8.41,AU,1593565969
22,guerrero negro,27.98,-114.06,69.57,64,0,19.39,MX,1593565969
23,portland,45.52,-122.68,66.99,52,75,16.11,US,1593565741
24,east london,-33.02,27.91,59.2,73,0,14.41,ZA,1593565943
25,busselton,-33.65,115.33,51.01,90,58,1.99,AU,1593565910
26,sayyan,15.17,44.32,67.32,27,100,2.73,YE,1593565971
27,georgetown,5.41,100.34,80.6,94,20,5.82,MY,1593565919
28,champasak,14.75,106.0,77.0,94,90,2.24,LA,1593565971
29,ribeira grande,38.52,-28.7,67.3,95,25,7.18,PT,1593565918
30,port alfred,-33.59,26.89,52.0,91,0,1.99,ZA,1593565913
31,avarua,-21.21,-159.78,78.8,74,90,17.22,CK,1593565908
32,vaini,-21.2,-175.2,75.2,73,75,11.41,TO,1593565911
33,cherskiy,68.75,161.3,54.1,54,63,14.67,RU,1593565949
34,caravelas,-17.71,-39.25,69.31,95,46,2.77,BR,1593565971
35,tasiilaq,65.61,-37.64,44.6,45,100,18.34,GL,1593565923
36,katherine,-14.47,132.27,80.6,39,87,6.93,AU,1593565972
37,hermanus,-34.42,19.23,48.0,94,0,4.03,ZA,1593565905
38,daram,11.63,124.79,83.05,71,91,5.88,PH,1593565972
39,along,28.17,94.77,76.96,85,88,0.69,IN,1593565972
40,arraial do cabo,-22.97,-42.03,71.6,83,98,11.41,BR,1593565907
41,bethel,41.37,-73.41,69.8,83,75,2.26,US,1593565628
42,souillac,-20.52,57.52,64.4,93,20,3.36,MU,1593565951
43,cody,44.53,-109.06,66.0,38,20,12.75,US,1593565972
44,flinders,-34.58,150.86,64.99,62,48,11.01,AU,1593565697
45,kavieng,-2.57,150.8,84.76,70,54,10.07,PG,1593565670
46,bluff,-46.6,168.33,39.0,83,100,3.0,NZ,1593565908
47,puerto ayora,-0.74,-90.35,71.01,90,65,7.0,EC,1593565910
48,jamestown,42.1,-79.24,72.0,64,1,9.17,US,1593565906
49,iseyin,7.97,3.6,71.6,98,100,3.69,NG,1593565973
50,cape town,-33.93,18.42,48.99,93,0,4.7,ZA,1593565620
51,mormugao,15.4,73.8,79.86,84,85,7.38,IN,1593565973
52,vao,-22.67,167.48,67.55,71,0,18.54,NC,1593565974
53,hornepayne,49.21,-84.77,76.6,52,100,6.06,CA,1593565974
54,arlit,18.74,7.39,87.71,12,0,4.81,NE,1593565692
55,hilo,19.73,-155.09,84.2,54,90,11.41,US,1593565651
56,paamiut,61.99,-49.67,39.79,96,100,3.65,GL,1593565927
57,marsh harbour,26.54,-77.06,84.2,69,0,8.59,BS,1593565946
58,carnarvon,-24.87,113.63,57.2,100,0,10.29,AU,1593565863
59,xining,36.62,101.77,57.65,72,99,0.63,CN,1593565974
60,viedma,-40.81,-63.0,40.35,91,34,2.42,AR,1593565762
61,thompson,55.74,-97.86,69.8,73,40,12.75,CA,1593565909
62,pedro juan caballero,-22.55,-55.73,57.94,81,77,11.32,PY,1593565974
63,hithadhoo,-0.6,73.08,83.88,65,100,2.82,MV,1593565928
64,kapaa,22.08,-159.32,86.0,62,20,12.75,US,1593565651
65,mount isa,-20.73,139.5,75.2,33,23,10.29,AU,1593565875
66,srednekolymsk,67.45,153.68,60.19,38,1,11.43,RU,1593565975
67,albany,42.6,-73.97,64.99,91,97,3.47,US,1593565912
68,coquimbo,-29.95,-71.34,55.4,82,100,5.82,CL,1593565936
69,san rafael,-34.62,-68.33,43.54,67,100,4.09,AR,1593565916
70,hohhot,40.81,111.65,69.8,64,29,2.24,CN,1593565975
71,sandwick,60.0,-1.25,48.2,81,100,12.75,GB,1593565975
72,kavaratti,10.57,72.64,83.59,75,100,14.65,IN,1593565952
73,bell ville,-32.63,-62.69,48.0,83,58,11.01,AR,1593565975
74,tiksi,71.69,128.87,50.43,56,91,7.83,RU,1593565654
75,new norfolk,-42.78,147.06,48.0,78,76,3.02,AU,1593565907
76,carutapera,-1.2,-46.02,75.16,90,0,4.09,BR,1593565976
